runid,num_q,num_ret,num_rel,num_rel_ret,map,gm_map,Rprec,bpref,recip_rank,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,P_5,P_10,P_15,P_20,P_30,P_100,P_200,P_500,P_1000,ndcg_cut_10,set_recall,
textEN_bm25_21,50,50000,26664,10027,0.1737,0.1256,0.2810,0.3481,0.8438,0.8913,0.5060,0.3764,0.2572,0.1696,0.0995,0.0317,0.0065,0.0000,0.0000,0.0000,0.7000,0.6740,0.6533,0.6350,0.6013,0.4708,0.3877,0.2818,0.2005,0.6398,0.3842,
textEN_bm25_22,50,49556,26664,9183,0.1573,0.1171,0.2624,0.3188,0.8151,0.8753,0.4932,0.3591,0.2231,0.1279,0.0607,0.0113,0.0000,0.0000,0.0000,0.0000,0.6960,0.6520,0.6227,0.6090,0.5793,0.4602,0.3820,0.2672,0.1837,0.6141,0.3483,
textEN_bm25_23,50,50000,26664,9603,0.1685,0.1221,0.2739,0.3355,0.8117,0.8741,0.4976,0.3713,0.2445,0.1663,0.0711,0.0247,0.0094,0.0000,0.0000,0.0000,0.7000,0.6460,0.6187,0.6090,0.5813,0.4656,0.3896,0.2752,0.1921,0.6114,0.3701,
textEN_bm25_24,50,50000,26664,7057,0.0931,0.0511,0.1923,0.2420,0.6283,0.7173,0.3051,0.2113,0.1191,0.0605,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.4440,0.4000,0.3893,0.3680,0.3567,0.3090,0.2620,0.1960,0.1411,0.3565,0.2686,
textEN_bm25_25,50,50000,26664,7402,0.0980,0.0522,0.1966,0.2559,0.6419,0.7227,0.3185,0.2164,0.1297,0.0707,0.0235,0.0096,0.0000,0.0000,0.0000,0.0000,0.4400,0.3980,0.3893,0.3690,0.3553,0.3112,0.2643,0.1999,0.1480,0.3572,0.2858,
textEN_DFI_13,50,50000,26664,8764,0.1690,0.0918,0.2582,0.2873,0.8402,0.8736,0.4947,0.3737,0.2512,0.1368,0.0710,0.0299,0.0068,0.0000,0.0000,0.0000,0.7000,0.6780,0.6640,0.6410,0.5900,0.4682,0.3875,0.2616,0.1753,0.6170,0.3289,
textEN_DFI_14,50,50000,26664,10260,0.1866,0.1426,0.2910,0.3498,0.8925,0.9175,0.5481,0.3996,0.2929,0.1649,0.0842,0.0319,0.0000,0.0000,0.0000,0.0000,0.7960,0.7400,0.7040,0.6740,0.6420,0.5126,0.4199,0.2952,0.2052,0.6958,0.3862,
textEN_DFI_15,50,50000,26664,9802,0.1761,0.1330,0.2787,0.3356,0.8479,0.8987,0.5354,0.3779,0.2555,0.1492,0.0710,0.0300,0.0017,0.0000,0.0000,0.0000,0.7640,0.7300,0.6960,0.6640,0.6220,0.4986,0.4049,0.2854,0.1960,0.6809,0.3706,
textEN_DFI_16,50,50000,26664,7825,0.1058,0.0585,0.2080,0.2631,0.6270,0.7240,0.3324,0.2317,0.1517,0.0781,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.4640,0.4280,0.4170,0.3933,0.3270,0.2810,0.2108,0.1565,0.4004,0.2960,
textEN_DFI_18,50,50000,26664,7402,0.1390,0.0751,0.2253,0.2448,0.8380,0.8746,0.4555,0.3009,0.1691,0.0917,0.0316,0.0093,0.0000,0.0000,0.0000,0.0000,0.7120,0.6780,0.6453,0.6120,0.5687,0.4318,0.3495,0.2332,0.1480,0.6263,0.2728,
textEN_DFI_19,50,50000,26664,8221,0.1592,0.0820,0.2491,0.2763,0.8380,0.8754,0.4742,0.3298,0.2193,0.1349,0.0577,0.0377,0.0093,0.0000,0.0000,0.0000,0.7160,0.6840,0.6480,0.6150,0.5720,0.4470,0.3685,0.2502,0.1644,0.6295,0.3103,
textEN_DFI_20,50,50000,26664,9344,0.1585,0.1154,0.2604,0.3210,0.8572,0.8910,0.4939,0.3426,0.2275,0.1233,0.0551,0.0082,0.0000,0.0000,0.0000,0.0000,0.7400,0.6940,0.6427,0.6340,0.5987,0.4680,0.3741,0.2664,0.1869,0.6590,0.3502,
textEN_DFI_21,50,50000,26664,9707,0.1667,0.1202,0.2700,0.3358,0.8572,0.8932,0.4994,0.3490,0.2323,0.1557,0.0652,0.0201,0.0000,0.0000,0.0000,0.0000,0.7440,0.6940,0.6440,0.6320,0.6000,0.4728,0.3779,0.2745,0.1941,0.6594,0.3684,
textEN_DFI_22,50,49556,26664,8914,0.1491,0.1107,0.2520,0.3077,0.8443,0.8923,0.4856,0.3214,0.1977,0.1160,0.0393,0.0111,0.0000,0.0000,0.0000,0.0000,0.7240,0.6680,0.6493,0.6380,0.5860,0.4422,0.3752,0.2594,0.1783,0.6377,0.3350,
